firm_id,year,leverage,current_ratio,quick_ratio,roa,roe,gross_margin,interest_coverage,asset_turnover,cash_ratio,revenue_growth,stock_volatility,ln_market_cap,momentum_12m,turnover_rate,esg_score,env_score,soc_score,gov_score,credit_risk_score
1,2020,0.6458,1.2863,0.8437,0.0866,0.2831,0.3558,11.2346,0.4019,0.432,0.4262,0.3721,24.0045,0.2273,1.5339,57.7267,51.9542,54.7766,60.9106,46.6308
1,2021,0.255,2.4103,1.4835,0.0778,0.1267,0.3046,1.9095,0.794,0.6153,0.2146,0.4719,23.1948,0.3031,4.5649,54.2678,51.0494,58.5943,,31.0759
1,2022,0.481,2.5453,1.5014,0.0881,0.1627,0.4219,5.5546,0.5697,0.8194,0.3071,0.2798,24.8287,0.0684,2.0606,,46.8145,52.1544,71.0624,28.0952
1,2023,0.5469,1.4428,0.8616,0.0617,0.1304,0.4556,3.9051,0.8159,0.2458,0.0827,0.4146,21.3898,-0.2849,0.8132,46.8395,47.7587,45.182,49.2481,53.3096
2,2020,0.4799,1.5816,1.2619,0.0205,0.0435,0.2794,1.8198,0.2282,0.5721,0.2496,0.5005,20.9336,-0.3895,6.5711,24.2128,21.7866,29.8606,16.9128,57.671
2,2021,0.5258,2.0776,1.2018,0.027,0.0689,0.2766,1.8806,0.6792,0.555,0.0381,0.5563,21.1646,0.1947,1.8202,37.774,,34.0479,40.7678,55.2225
2,2022,0.5345,1.5474,1.1876,0.0329,0.0926,0.3061,1.9676,0.4523,0.3991,0.2448,0.3337,20.0288,-0.33,2.4032,25.2027,18.3526,21.9111,,53.3521
2,2023,0.3293,1.9879,1.1255,0.0321,0.021,0.2767,2.5909,0.4904,0.3009,0.1795,0.4677,22.3522,0.0756,6.1747,42.2404,54.3757,41.0199,34.8814,45.9109
3,2020,0.3012,1.3424,0.7547,0.0102,0.0234,0.2968,4.9726,0.9428,0.33,0.1629,0.3209,22.5529,0.0982,2.5323,50.725,,47.6319,52.1708,27.9851
3,2021,0.4177,2.3512,1.6051,0.0486,0.0412,0.323,6.7361,0.4696,0.6898,-0.1517,0.4148,24.0948,0.2172,2.5051,80.493,78.2582,83.9011,67.2957,31.7953
3,2022,0.4365,2.1551,1.4322,0.0273,0.045,0.2101,9.4279,0.6682,0.6857,0.2988,0.4602,24.872,0.2031,1.471,63.6332,59.5773,70.299,56.0215,28.0505
3,2023,0.3086,1.6855,1.203,0.1028,0.1778,0.3966,2.6906,0.3652,0.3904,0.1891,0.4819,23.1205,-0.1177,1.2003,75.87,,80.1172,71.7474,31.9375
4,2020,0.3159,1.7292,1.3156,0.11,0.1325,0.3029,1.5995,0.5568,0.4116,0.2321,0.3515,22.7279,-0.1528,2.5013,63.801,72.1423,57.4685,59.1915,27.9879
